Tweet,Label,char_length,word_count
dulu waktu smp jengkel banget sama ibu mau pergi naik bus jombang bojonegoro jawa timur pakai dianterin terminal bus padahal pinginnya naik angkot,Anger,146,23
bukan jadi mangsa maki kena marah but concerned pasal cakap tetiba,Anger,66,11
jangan benci fany fany baikbaik kok makan orang kok,Anger,51,9
boleh marah cepett tua,Anger,22,4
gwinam kayak punya ingin hidup tinggi kan dendam sama chongsan,Anger,62,10
mula bangsat febuari,Anger,20,3
baca komenannya sungguh uras emosi asu,Anger,38,6
lagi sih kemarin siapa sih milih gubernurr wong dudul koyok begini,Anger,66,11
kata mama baik samaa orang tapi kalau orang ngelunjak sudah diemin tapi orang tega jadi begitu jatohnya malah tolol ngebantuin orang tidak usaha sendiri,Anger,152,24
bahkan dari tweet maksud supportive parah tuh bareng tanya baikbaik diskusi langsung ngegas benerbener jadi ruang marahmarah,Anger,124,17
iya ituu benci banget makin hari saja atur jelas begini huhu,Anger,60,11
jangan marah lesen dia ada itu,Anger,30,6
mak darah tinggi andin makk mamak marah marah lanjut makk,Anger,57,10
tolol nama adek harus anak kecil adek yang posisi lahir kakak mau jecil besar ada urus dongo,Anger,92,17
bangsat bener laku guru harus ayom,Anger,34,6
orang semua lama nak borak kau fun kata orang kalau dengar kau buat lawak bodoh satu hari dulu jepp haha kitorang dengar kau tengah satu projek big project semua cakap pasal kau jangan ada benda ada pape,Anger,203,37
tiati bodoh beneran,Anger,19,3
yhh marah mulu kamu cepat tua mampus,Anger,36,7
bloon mana yang mau kalah mang bodoh anjing kntl,Anger,48,9
mun patah becakap kau utuk baik tah diam pastu kau marah pulang diam paham,Anger,74,14
benci kau,Anger,9,2
contoh orang tolol bin dongok,Anger,29,5
lama perintah suami langgar syariat hormat tidak tolol makanya islam buat orang mau berfikir,Anger,92,14
ahahaaa khas buzzerp jokowi nuduh orang mau tuduh marah,Anger,55,9
lah bodoh all are dead kali gwinam,Anger,34,7
macan marah,Anger,11,2
bangsat banget,Anger,14,2
padahal stay lokasi dianggurin tertawa buat apa kamu ngehire orang luar kalau begini cerita tolol jadi ingin duit tidak jelas banget bikin stress padahal mah tinggal resin proyek kelar bikin pusing,Anger,197,31
leon jangan bawa emosi,Anger,22,4
benci banget sama orang,Anger,23,4
makanya ngaji bener biar bodoh,Anger,30,5
ledik jancuukk tai anjingg setann tolol babi monyett,Anger,52,8
generasi sekarang jadi bodoh mudah begoin,Anger,41,6
atheis punya rasa benci kirain umat agama lalu apa beda,Anger,55,10
terus hubungane apa bangsat,Anger,27,4
bangsat kaget,Anger,13,2
emosi mulu ahok,Anger,15,3
benda lah orang penuh emosi last episode waktu juga nak sumbat ppl,Anger,66,12
benci hari sabtu,Anger,16,3
gataugue benci banget,Anger,21,3
suka nih bikin emosi begini jadi tag dong kack,Anger,46,9
aneh banget bodoh kamu,Anger,22,4
jujur shock bagi bangsat sih biasa kayak drake tidak bangsat,Anger,60,10
ustzh marah ikut ada orang masuk kelas pai lepastu rupa yang salah masuk taut,Anger,77,14
buat kalau mau nyerang perintah janji dulu gitukeliatan bodoh nya kalau begini,Anger,78,12
bukan paling mulia saya manusia normal jijik lihat kaum homo lagipula agama larang tolol kamu ngeyel kamu belum benar jangan banget kata kamu kaya kamu benar saja homo,Anger,167,28
allah marah betul tengok video,Anger,30,5
semangatt walaupun hati kata bangsat,Anger,36,5
sebb kalau orang macam nak jalan buat tahu selamba jalan kau hak nak halang jalan orang ambulans bodoh,Anger,102,18
aneh sih padahal lebih sering keluar dua diemdiem ngajak tapi tidak marah samsek krnapa gilir minta buat tani beli dia marah anjim aowkaowkaow padahal kan skor kalau dipikirpikir,Anger,178,28
hiyahiyahiya pesona pandang pertama tidak kuasa tahan emosi,Anger,59,8
pakai acara nikah tuh bodoh kunjung tempat jadi perkara jangan cuma main jempol luu keree punya ongkos bayarin saya mah orang,Anger,125,21
padahal suka marah marah kamu,Anger,29,5
bukan pens emyu nama kalau ikut tolol,Anger,37,7
maaf pagi pagi malah marah marah,Anger,32,6
asli asli tolol bat yaampun,Anger,27,5
kamu tolol anjir,Anger,16,3
marah mulu asa,Anger,14,3
bodoh betul cek orang xcden dulu,Anger,32,6
ntah tolol beneran purapura tolol masih butuh informasi semua akun sosial saya buka umum,Anger,88,14
makanya anjir emosi kesel banget nontonnyaa,Anger,43,6
bener juga bikin kesal lama lihat muka,Anger,38,7
main pakai first pon kalah dengan kelab bodoh apa bala,Anger,54,10
bodoh banget sih,Anger,16,3
pagi kok emosi,Anger,14,3
bagaimana bangsat begitu gasii,Anger,30,4
jadi deh mau kak mark biar kamu emosi,Anger,37,8
jangan biar satu yang bodoh ngehancurin bahagia kamu hari,Anger,57,9
lah ngapa jadi bawa sby bro hakikat sah apabila orang muji maupun benci asal alas konkret munafik ngomong apa beri gambar apa jaka sembung bawa kembang tidak nyambung sayang,Anger,173,29
punya facebook coba buka bem nyata sama banyak virus adm wabah nyebar manusia bodoh perlu banyak dik urat malu putus kurang dik,Anger,127,22
orang bodoh jadi ustad ikut jadi bodoh semua,Anger,44,8
kha kamu bodoh banget tolol brengski oon gblok aaaak kesal banget kesell,Anger,72,12
bawa emosi,Anger,10,2
awal suka karakter dia sera dan bodoh banget segitu buta this called him jerk,Anger,77,14
tolol,Anger,5,1
rasa macam terlalu bodoh law ambil course lagi bodoh keje grab,Anger,62,11
emosi banget kalau yang bilang cakep putih makan taii,Anger,53,9
anjir bsbsnya mimpi ipar nyata jelma siluman babi kalau pikir korelasi sama sikap sifat tingkah laku tidak layak sebut manusia wkwk cok baru kali saya benci banget sama manusia,Anger,176,29
bodoh santai sendiri sakit,Anger,26,4
kamu anggap poligami solusi zina oiya semua laki mau poligami poligami tidak gampang banyak orang benci poligami manusia kamu ingat tanggung jawab poligami berat,Anger,161,24
pickaw punya dendam nya,Anger,23,4
ayah ngelarang anak istri nunjukin rasa jengkel ayah kalau jengkel nada ngomongnya ketus banting pintu narok barang kasar,Anger,121,18
bodoh minta monthly salary hitung dulu kalau diannual nyata sama sana sama sini pas approved bingung laba,Anger,105,17
mungkin ikut pimpin pesantren cabul makanya bikin opini tolol,Anger,61,9
bodoh ajgg,Anger,10,2
bapak khianat negara gaduh bapak songlap negara tikam belakang nak jadi good cop pulak lawak bodoh,Anger,98,16
diselingkuhin belum pacar sih main belakang diem diem tapi mulus bodoh banget pdktnya jadi tau cepat,Anger,100,16
anjr kesal banget sama suka curi semangat ashh moga lancar jadi tadi punya curi mana judulny yang keren jadi cuma bridge tree fragment,Anger,134,23
sabar sabar boleh marah,Anger,23,4
mesti benci perintah obatin sembuhtdk covidnya sembuh sakit hati sembuh,Anger,71,10
jangan main klarinet jangan pernah lambai lampu senter depan belakang terlalu cepat anggap undang jangan pernah henti tatap jangan makan keju yang kotak jangan pakai topi sombrero jangan pakai baju bodoh,Anger,203,31
bangsat ini,Anger,11,2
nomor izin suami berpoligamiuntuk cegah perzinahan aduhh goblok banget jadi orang jadi lama nikah zina dan poligami bagus anjur agama helloww agama ada tuh kontol lubang bajing bangsat kamu,Anger,189,29
emosi kok tadi wkkw,Anger,19,4
say bagaimana cara mainin asa cowok nanti cowok sesal ninggalin cewenya kata temenku biar pikir cowonya ninggalin pilih bodoh,Anger,125,19
kalau naksir nder cuma mau dideketin selalu beri lampu merah jadi mundur sendiri sendiri suruh sekolah dulu sama ortu benci tolak dari kasih lampu merah daripada pas tembak tolak saya takut sakit hati,Anger,200,33
taik benci twitter suka refresh sendiri bangsaat padahal tadi tweet lucu jadi baca,Anger,82,13
konyol bodoh,Anger,12,2
benci jangan bodoh,Anger,18,3
salah sendiri baperan tolol,Anger,27,4
hari pun kena marah pasal panadol,Anger,33,6
bangsat bener,Anger,13,2
lihat pintar tolol,Anger,18,3
tolol banget nilo jilat tai sebdiri guwvtakut siiii bayangin omar marahh eumm,Anger,77,12
luv emyuu tolol sumpah,Anger,22,4
nah satu cebong tolol nongol,Anger,28,5
kalau mau suruh mati arti kamu tolol,Anger,36,7
pantas orang aku bodoh kok panjang umur dualisme ckck,Anger,53,9
ini pernah lihat orang negro apa ras banget bangsat,Anger,51,9
benci tiap mulai suka sama orang orang seakanakan hindar,Anger,56,9
biarin marah banget kali,Anger,24,4
pagi tiba tiba baca banyak berita cebong ngamuk ngamuk cari banyak alas dewa nya harga luhut pidatocebong hibur diri pura pura bahagiacebong cebong bodoh idiot kalian permanentmentang mentang gratis kamu ambil semua bodoh nyaidiot,Anger,230,34
lagu sakusa habis diputusin atsumu habis misuhin lagu yakali ajg bisa benci kamu yakali ajg cari baru mau kamu yang baru dengan benci kamu,Anger,138,24
soal kecil dicekokin kalau cakep yang kulit putih alias tolol,Anger,61,10
kesel banget anjir pagi ribet kamu bangsat,Anger,42,7
bodoh,Anger,5,1
jengkel banget sama telepon centernya buru banget closing nya padahal masalah bom kelar parahh iya kan sicepat nama,Anger,115,18
gaduh timbul efek demo bersilit silitnya sekarang hilang meski akhir marah kecewa jebul sing dukung malah dadi tri semua,Anger,120,19
janji dedak bodoh bodoh,Anger,23,4
yang kelimaa anjing sial mulu minggu bangsat besok apa nih taiik,Anger,64,11
banyak masyarakat tau gerakgerik bohong jual dalil bangsat provokator pecah belah anak bangsa memang polisi harus sgr jeblos bui bajing jnj,Anger,139,21
minta nak makan macam minta suami minta orang suruh beli pulak bodoh,Anger,68,12
bodoh lah ada flight dekat,Anger,26,5
pagi tahan jangan emosi,Anger,23,4
bisabisanya mark calling marah,Anger,30,4
emyu kalah kok yang emosi yaa,Anger,29,6
yakin bakal jengukin sih kita tau mereka mau share apa enggak penting sendiri ahh copit bangsat minta maaf kamu bikin mimi sakit sendiri,Anger,136,23
hukum bangsat buat bangsat,Anger,26,4
lagi ramai kalau suami pukul istri yaa kalau pukul canda bikin lebam sih biasa ajaa tipe orang suka disakitin jadi kalau pukul pukul balik soal sayah masa hidup tidak pernah pukul saya marah tidak pernah saya anak satu,Anger,218,38
bodoh banget checkout maybelline lupa pilih hadiah,Anger,50,7
mau eskrim mau balas dendam sama jev anjg maap kak esmosi jiwa tidak-apa-apa jevan shibal,Anger,89,15
satu sisi kalo emang proses kemaren gagal tidak apa banget minum obat yang penting kelar mohon banget sudah benci banget situasi mana cuma keep rasa sakit sendiri saya susah mana benci banget,Anger,191,32
match competitive menang cuma tolol mending uninstall saja emang bakat,Anger,70,10
masih jengkel yaa sama temen temen kelompok,Anger,43,7
slogan sudah buang ganti semua polis bangsat,Anger,44,7
wkwkakak faker tolol,Anger,20,3
kucing steril lama hari sudah kurung rumah hari kabur dong main rumah tetangga sinting langsung kejar harap ketemu tau malah sapa ketemu amnjing bener sudah bangsat,Anger,164,26
baru reda emosi nya emosi,Anger,25,5
sorry bang paling benci kalau yang bilang lebih capek saya,Anger,58,10
pagi marah marah,Anger,16,3
frik ambis jelas malas rasa bodoh bisa nyimbangin asu kesan jelek mulu padahal rata rata oke,Anger,92,16
jangan buat spill kamu njir sabar hps twt sudah ganti username kamu kayak emang nyari ribut sama cewek bangsat,Anger,110,19
tau apa buat marah baca tbtb out sendiri,Anger,40,8
bodoh banget maksa,Anger,18,3
mmf say tanya bodoh xixi,Anger,24,5
parahh bangsat banget planga plongo dongo beleng bangsat cara makan menghiaap darah orang nyawa orang,Anger,101,15
genius kang taehyun senang ulang tahun anak lanang sehat terus jan sakit kalau sakit marah kangen tyunn sulap pengin tyunn konten masak terus upload,Anger,148,24
sih malah download valorant tolol,Anger,33,5
sume ikut rakyat bodoh pilih orang susah rakyat watpe asal melayu isle betul hanggok hang,Anger,89,15
jujur malu jadi orang indonesia kok tinggal negara sama orang bodoh begini semua,Anger,80,13
awan kamu dendam sama ngomng wan,Anger,32,6
kesal gegara kelompok,Anger,21,3
bilang realistis butuh duit benar lebih oke cari banyak duit tidak orang materialistis tuh iinget segala butuh uang uang bukan segala emosi emang sis kalau sok sok realistis nyata materialistis,Anger,193,30
benci sama kamu,Anger,15,3
pagipagi begini ada bikin emosi,Anger,31,5
wkwkwk tolol,Anger,12,2
saya egois bodoh,Anger,16,3
setan kribo model nya murtad saefudin ibrahim sekarang pendeta selalu mendeskriditkan islamsi setan kribo kalau mau murtad murtad sekalianjd umat islam bikin masalah nebar fitnahklo paham agama islam bener seperti begini narasi bangsat,Anger,235,33
pagi sudah emosi,Anger,16,3
nyata block sama cowok gegara pas minta foto aneh terus tolak lagi minta foto aneh mulu kata saya bodoh apa,Anger,107,20
anak cucu bangsat bangsa,Anger,24,4
yang paling benci buah proses nungguin lebih sakit nungguin hasil kala badan bom baik capek banget tiap hari gantung sama ibuprofen obatobat lain biar sakit kurang,Anger,163,26
hindar perzinahan kok poligami sih tolol banget goblokkkkk makanya titit nya usah gatal lihat perempuan tetangga,Anger,112,16
marah,Anger,5,1
emosi emosi asu,Anger,15,3
malah kirim ini jancuks bau bakal marah,Anger,39,7
terlalu cuek capek antem terus tiap keluh terlalu sibuk cuek malah dia yang marah like apa,Anger,90,16
marah muluu,Anger,11,2
selamat pagi mulai hari emosi yuk mampir,Anger,40,7
pagi emosi,Anger,10,2
apasih bawa tahun tolol,Anger,23,4
anjing baru nonton all dead bawa emosi bgst,Anger,43,8
haduh jangan pjj dong mulai ngerti ajar tiba tiba pjj jadi bodoh nanti,Anger,70,13
bener banget sih banyak banget benci sama salah satu pas kerja tulis nih teman yang depan baik belakang malah bilang kakak ipar tidak suka malah cenderung benci pas putus kontrak tuh senang banget njir,Anger,201,34
steril kucing habis juta ratus ribu men bangsat mahal kan karena kucing sudah tua jadi reaksi lama banget suka spray urine sembarang suka teriak minta keluar nah yang bikin pusing,Anger,179,30
kalau blaja keje jauh gaul rasa pun benci ngan perangai terimakasih everyone sebb jadi contoh baik,Anger,98,16
daftar orang tolol idiot tolak maju adab indonesia akan catat sejarah tolak maju indonesia foto pajang tempat sampah,Anger,116,18
suka bingung orang tuh sih caper banget mau atensi orang ngehate barangkali kamu baca tweetan nih kamu baca kalau kamu suka sama mika sok ngomong the point usah kontol suka ngehate pakai orang tolol cundang,Anger,206,35
tolol banget mah mana yang lihat,Anger,32,6
kalau sinetron jahat jahat banget yang baik bodoh banget,Anger,56,9
twt mulai nga jelas kayak mulai sedih marah kesel nyinyir lambe turah bukan kind human lets pak ayi ngobatin mental dulu gais,Anger,125,22
fagg benci banget lihat,Anger,23,4
benci sama orang hidup kaya banyak lagu,Anger,39,7
bisaa dong yah jangan bikin emosi dulu pagipagi,Anger,47,8
sungguh benci seto ialah seksual anjing pokok peluk sahaja,Anger,58,9
kalau marah balik anjg lah,Anger,26,5
serius kangen banget wkwkw nang kadang pikir sekarang lagi benci banget sama tuh agens sadar kalau kamu diem nih idol kamu kena imbas percuma diem buat redain masalah pasti panjang karir jake nih masalah bakal ungkit,Anger,216,36
tengah siap telepon memang kena marah duit tidak hutang apa tidak tahu,Anger,70,12
siap tolol,Anger,10,2
buat rakyat percaya kuasa sering bohong pimpin larang rakyat laku tetapi sendiri laku terlalu vulgar tonton bodoh mengaggp rakyat semua bodoh,Anger,141,21
benci bat sama kumpul ibu ibu,Anger,29,6
pinjam duit leasing gilir tagih marah tagih bayar listrik nunggak gilir tugas pln cabut fasilitas listrik tugas pln malah keroyok pesan barang bayar kirim enggak sesuai ekspektasi malah kurir suruh bayar wow luar biasa,Anger,218,34
salah ketika marah hal salah sedang baik baik juga pada video engkau potong potong kelas komisaris ndul,Anger,103,17
pagi jangan marah bundaa,Anger,24,4
orang perlu ajarin attitude belanja deh nya emosi,Anger,49,8
opini kamu nomor bodoh zaman nabi poligami untuk ngebebasin wanita budak bagai kalau kata kamu sini kamu cuma mau cari enak kamu sumpah gedeg banget manusia model begini,Anger,169,28
kalau tunjuk muka anak istri kemudian buat nyata bodoh nitu bukan berani bangtu bapak bangang bodoh degil macam kaldai fikir anak istri tersayangibarat kau bgi gambar kau istri kau tengah berjubo depan anakthen legar sosmed,Anger,223,35
halah hidup kok cuma modal kontol ingin cewek banyak lindung bawah sunah rosul nih nabi denger nyata kamu begini nang anjir sesat bangsat ajar agama tapi jangan mabok orang teman,Anger,178,30
pagi pagi marah marah,Anger,21,4
ampun pagi pagi bikin emosi wkwk,Anger,32,6
another manusia tolol cocok kebiri,Anger,34,5
marah marah terus keriput,Anger,25,4
enuf buat drama acah masalah sosial masyarakat most the story lebih tnjuk negatif lekat kat kepala acah padahal nak rating masalah sosial increase and then nama melayu tukar nama bodoh punya director,Anger,199,32
lebih tolol fenss nya sih,Anger,25,5
bodoh maraton baca minggu eng pas tau bakal daily pass,Anger,54,10
sabar sabar jangan emosi,Anger,24,4
jarta sama ael pagi pagi bikin emosi anjing,Anger,43,8
habis sakit hati tolol banget emang,Anger,35,6
astaghfirullah marah marah,Anger,26,3
jalan luas kamu ngapain klakson tolol depan belakang kamu ada kendara,Anger,69,11
tiba tiba masuk jadi kelompok emang punya dendam maaf allah kaya dih apasih mah bawa kating beri tau saya temen saya,Anger,116,21
tolol dna nya orang,Anger,19,4
pasti marah,Anger,11,2
lindung rasa punya hak imunitas dpr bodoh saya pilih bagai wakil rakyat sok orang sunda diam santet dari jarak jauh orang pdi nanti nglunjak besar kepala nya anjing,Anger,164,28
semua dari arab halal cuy bagi orangorang bodoh ada indonesia kdrt benar kencing onta minum teroris jadi anggota fatwa mui teroris jadi ulama ustadz guru agama kok,Anger,163,27
maaf nih mus saya bodoh bknya mau pdh ibu kota tok emange wong sak jakarta mau ikut pindah kbh kan kantor usaha semua neng jakarta urus administrasi negara sing pindah kui mgk ada wakil menteri sik neng jakarta,Anger,210,38
gerombol ngasal bin tolol,Anger,25,4
buzzerrp bani bipang kafer komunis komen panas bodoh bin dungu mudah bohongin tipu manusia rendah moral akhlak,Anger,110,17
marah tidak tau siapa,Anger,21,4
saya kesal detik akhir ada yang jadi,Anger,36,7
hallo makin kesini makin erti kepo sama masalalu doi senang lihat masalalu doi itu bahagia seperti tolol banget kamu nyiain doi yang emang superduper baik bertrimakasih sama kamu kamu buang doi,Anger,193,31
walaupun scene uwu rating malah turun tiap scene jessi muncul jadi pindah chanel tiep muncul lebih baik lihat konflik rebut reyna walaupun emosi lihat tingkah kuyang ketimbang lihat jesika,Anger,188,29
hahaha tuh kan bangkot bodoh,Anger,28,5
benci kenapa korg tepuk masa hoi,Anger,32,6
makin jeblok suara pdip jawa barat buat orang sunda semangkin benci,Anger,67,11
kau benci sangat siel ngan,Anger,26,5
duga soal tumben banget cube ngegas banget promosi lain jadi ingat coba helicopter kemarin cube kalau kamu ngapain anak saya awas saya marah beneran marah banget,Anger,161,26
nah kan banyak homophobic nyampah lapak foto mana banyak indonesia mancing sih pakai aplod segala ujung kan bawa dan kena hate bangsat emang yang nyuruh fanservice,Anger,163,26
pagi bikin jengkel heran,Anger,24,4
